# Team Round-Robin Tournament Solution for n=34, m=17
# EXTRA: No player goes first/second 3 rounds in a row
# 额外约束：任何队员都不能连续三轮执先或连续三轮执后
# Solved by CP-SAT in 32.3s
# Format: player LEFT of '-' goes first

第1轮 A1-B1 A2-B2 B3-A3 A4-B4 B5-A5 B6-A6 A7-B7 B8-A8 B9-A9 B10-A10 A11-B11 B12-A12 A13-B13 A14-B14 B15-A15 A16-B16 B17-A17 B18-A18 A19-B19 A20-B20 B21-A21 A22-B22 B23-A23 B24-A24 A25-B25 B26-A26 B27-A27 B28-A28 A29-B29 A30-B30 A31-B31 A32-B32 B33-A33 A34-B34
第15轮 B22-A1 B16-A2 B11-A3 A4-B18 A5-B21 A6-B3 A7-B29 A8-B33 A9-B25 A10-B23 B27-A11 A12-B19 B14-A13 B20-A14 A15-B2 B4-A16 B28-A17 B10-A18 A19-B5 B7-A20 B24-A21 A22-B17 B34-A23 B9-A24 B26-A25 A26-B15 A27-B31 B13-A28 A29-B1 B32-A30 A31-B8 A32-B12 B6-A33 A34-B30
第16轮 B21-A1 B3-A2 A3-B14 A4-B20 B29-A5 B19-A6 B6-A7 B5-A8 B11-A9 B1-A10 A11-B22 B28-A12 A13-B24 B15-A14 A15-B17 A16-B32 A17-B26 A18-B9 B4-A19 B23-A20 A21-B13 B8-A22 A23-B7 A24-B18 A25-B16 A26-B34 B25-A27 A28-B31 A29-B30 A30-B10 B33-A31 B27-A32 A33-B2 B12-A34
第17轮 A1-B20 A2-B4 A3-B25 B16-A4 B9-A5 A6-B34 A7-B3 B30-A8 B13-A9 B2-A10 A11-B1 A12-B11 B33-A13 A14-B12 B24-A15 A16-B19 B31-A17 B23-A18 A19-B6 A20-B5 A21-B27 A22-B21 B17-A23 A24-B7 B32-A25 B18-A26 B10-A27 A28-B29 B15-A29 B14-A30 B26-A31 A32-B28 B22-A33 A34-B8
第18轮 B19-A1 A2-B13 B21-A3 A4-B12 A5-B23 B20-A6 A7-B14 A8-B2 A9-B15 A10-B29 B28-A11 B34-A12 A13-B9 B7-A14 A15-B33 B31-A16 A17-B32 B5-A18 A19-B18 B30-A20 B8-A21 A22-B6 B27-A23 B25-A24 B4-A25 B11-A26 A27-B24 B16-A28 A29-B3 B22-A30 A31-B1 B10-A32 A33-B17 A34-B26
第19轮 A1-B18 B34-A2 B33-A3 B32-A4 A5-B14 A6-B30 B2-A7 B7-A8 A9-B27 B6-A10 A11-B19 B1-A12 A13-B17 A14-B16 A15-B31 B20-A16 B15-A17 A18-B4 B26-A19 B25-A20 A21-B11 B13-A22 A23-B8 B5-A24 A25-B10 A26-B28 B29-A27 A28-B23 B21-A29 A30-B9 B12-A31 A32-B22 A33-B24 B3-A34
第20轮 B17-A1 B31-A2 A3-B6 A4-B3 B27-A5 A6-B1 A7-B16 A8-B26 B4-A9 A10-B5 B14-A11 A12-B21 B30-A13 B23-A14 B11-A15 A16-B33 A17-B12 A18-B15 B9-A19 A20-B34 B18-A21 A22-B7 A23-B22 A24-B8 B19-A25 B29-A26 A27-B13 B32-A28 B10-A29 A30-B25 B2-A31 A32-B20 B28-A33 B24-A34
第21轮 B16-A1 A2-B27 A3-B7 B14-A4 B19-A5 B22-A6 B13-A7 B24-A8 A9-B26 A10-B17 A11-B32 A12-B23 A13-B34 A14-B30 A15-B28 B1-A16 B4-A17 B8-A18 A19-B2 A20-B29 A21-B31 B9-A22 B25-A23 B21-A24 A25-B12 A26-B10 B5-A27 B3-A28 A29-B33 B20-A30 A31-B6 B15-A32 B11-A33 A34-B18
第22轮 A1-B15 B8-A2 B34-A3 B30-A4 A5-B24 B17-A6 B1-A7 A8-B13 B7-A9 B33-A10 B18-A11 B31-A12 B20-A13 B28-A14 A15-B16 A16-B11 A17-B2 A18-B19 A19-B27 B26-A20 A21-B32 A22-B4 A23-B10 B12-A24 B29-A25 B6-A26 A27-B21 A28-B9 B22-A29 A30-B3 B5-A31 A32-B14 A33-B25 A34-B23
第23轮 B14-A1 B10-A2 A3-B24 A4-B29 A5-B33 A6-B12 A7-B22 A8-B34 A9-B19 B25-A10 A11-B20 A12-B8 B27-A13 A14-B3 B18-A15 B23-A16 A17-B1 B2-A18 B28-A19 A20-B31 B16-A21 B32-A22 B26-A23 A24-B6 A25-B30 A26-B5 A27-B7 B4-A28 A29-B17 B11-A30 B15-A31 B9-A32 B21-A33 B13-A34
第24轮 A1-B13 A2-B22 B23-A3 B17-A4 B7-A5 A6-B18 B19-A7 B6-A8 B1-A9 A10-B30 B3-A11 A12-B26 A13-B5 A14-B2 A15-B29 A16-B27 B8-A17 B34-A18 B12-A19 B21-A20 A21-B9 A22-B10 B32-A23 B16-A24 A25-B33 A26-B20 B14-A27 A28-B11 B4-A29 B15-A30 A31-B28 B24-A32 A33-B31 A34-B25
