# Team Round-Robin Tournament Solution for n=34, m=17
# 全队循环赛编排方案 n=34, m=17
# Solved by CP-SAT in 27.9s
# Format: player LEFT of '-' goes first / "-"左边的队员执先

第1轮 A1-B1 A2-B2 A3-B3 A4-B4 A5-B5 A6-B6 A7-B7 A8-B8 A9-B9 A10-B10 A11-B11 A12-B12 A13-B13 A14-B14 A15-B15 A16-B16 A17-B17 B18-A18 B19-A19 B20-A20 B21-A21 B22-A22 B23-A23 B24-A24 B25-A25 B26-A26 B27-A27 B28-A28 B29-A29 B30-A30 B31-A31 B32-A32 B33-A33 B34-A34
第15轮 B22-A1 B16-A2 B11-A3 B18-A4 B21-A5 B3-A6 A7-B29 A8-B33 A9-B25 A10-B23 B27-A11 B19-A12 B14-A13 B20-A14 B2-A15 A16-B4 B28-A17 A18-B10 B5-A19 A20-B7 B24-A21 A22-B17 A23-B34 A24-B9 B26-A25 A26-B15 A27-B31 A28-B13 B1-A29 A30-B32 B8-A31 A32-B12 A33-B6 A34-B30
第16轮 A1-B21 A2-B3 B14-A3 A4-B20 B29-A5 A6-B19 B6-A7 A8-B5 A9-B11 A10-B1 B22-A11 B28-A12 B24-A13 A14-B15 B17-A15 A16-B32 A17-B26 A18-B9 A19-B4 B23-A20 B13-A21 B8-A22 B7-A23 A24-B18 B16-A25 A26-B34 B25-A27 A28-B31 B30-A29 B10-A30 B33-A31 A32-B27 A33-B2 B12-A34
第17轮 B20-A1 B4-A2 B25-A3 A4-B16 B9-A5 B34-A6 B3-A7 A8-B30 A9-B13 A10-B2 B1-A11 B11-A12 B33-A13 A14-B12 B24-A15 A16-B19 A17-B31 B23-A18 B6-A19 A20-B5 B27-A21 A22-B21 A23-B17 A24-B7 B32-A25 A26-B18 A27-B10 A28-B29 A29-B15 A30-B14 B26-A31 B28-A32 B22-A33 A34-B8
第18轮 B19-A1 B13-A2 B21-A3 B12-A4 B23-A5 A6-B20 A7-B14 B2-A8 A9-B15 B29-A10 A11-B28 B34-A12 A13-B9 A14-B7 A15-B33 B31-A16 A17-B32 A18-B5 A19-B18 A20-B30 A21-B8 A22-B6 B27-A23 A24-B25 A25-B4 B11-A26 A27-B24 B16-A28 B3-A29 A30-B22 B1-A31 B10-A32 B17-A33 B26-A34
第19轮 A1-B18 A2-B34 A3-B33 B32-A4 B14-A5 B30-A6 A7-B2 B7-A8 A9-B27 A10-B6 B19-A11 B1-A12 A13-B17 B16-A14 A15-B31 B20-A16 B15-A17 B4-A18 A19-B26 A20-B25 A21-B11 A22-B13 B8-A23 A24-B5 B10-A25 B28-A26 B29-A27 B23-A28 A29-B21 A30-B9 A31-B12 A32-B22 B24-A33 B3-A34
第20轮 A1-B17 B31-A2 B6-A3 B3-A4 A5-B27 B1-A6 A7-B16 A8-B26 A9-B4 B5-A10 A11-B14 B21-A12 A13-B30 A14-B23 A15-B11 B33-A16 A17-B12 A18-B15 B9-A19 A20-B34 B18-A21 B7-A22 A23-B22 B8-A24 B19-A25 B29-A26 B13-A27 B32-A28 A29-B10 A30-B25 B2-A31 A32-B20 B28-A33 A34-B24
第21轮 A1-B16 B27-A2 B7-A3 B14-A4 A5-B19 A6-B22 B13-A7 B24-A8 A9-B26 B17-A10 A11-B32 A12-B23 A13-B34 B30-A14 B28-A15 A16-B1 A17-B4 A18-B8 A19-B2 A20-B29 B31-A21 B9-A22 A23-B25 B21-A24 B12-A25 A26-B10 B5-A27 B3-A28 B33-A29 B20-A30 A31-B6 B15-A32 A33-B11 A34-B18
第22轮 B15-A1 B8-A2 A3-B34 A4-B30 A5-B24 A6-B17 B1-A7 A8-B13 B7-A9 A10-B33 A11-B18 A12-B31 B20-A13 A14-B28 B16-A15 B11-A16 B2-A17 A18-B19 B27-A19 B26-A20 A21-B32 B4-A22 A23-B10 B12-A24 A25-B29 A26-B6 B21-A27 B9-A28 A29-B22 A30-B3 B5-A31 A32-B14 B25-A33 B23-A34
第23轮 B14-A1 A2-B10 A3-B24 A4-B29 B33-A5 B12-A6 A7-B22 A8-B34 B19-A9 A10-B25 B20-A11 A12-B8 A13-B27 A14-B3 B18-A15 A16-B23 B1-A17 B2-A18 A19-B28 B31-A20 A21-B16 A22-B32 B26-A23 B6-A24 B30-A25 A26-B5 B7-A27 A28-B4 B17-A29 B11-A30 A31-B15 B9-A32 A33-B21 B13-A34
第24轮 A1-B13 A2-B22 A3-B23 B17-A4 B7-A5 A6-B18 B19-A7 B6-A8 A9-B1 B30-A10 A11-B3 B26-A12 A13-B5 B2-A14 B29-A15 B27-A16 A17-B8 B34-A18 A19-B12 A20-B21 A21-B9 B10-A22 B32-A23 A24-B16 B33-A25 B20-A26 A27-B14 A28-B11 A29-B4 B15-A30 B28-A31 B24-A32 A33-B31 A34-B25
